utterance_id,conv_id,turn_id,intent_id,intent_confidence,sb_binary,turn_id_norm
utterance_0_2,0,2,4,0.9,0,0.08695652173913043
utterance_0_4,0,4,7,0.9,0,0.17391304347826086
utterance_0_6,0,6,7,0.9,0,0.2608695652173913
utterance_0_8,0,8,8,0.9,1,0.34782608695652173
utterance_0_11,0,11,9,0.9,0,0.4782608695652174
utterance_0_13,0,13,8,0.9,0,0.5652173913043478
utterance_0_15,0,15,8,0.9,0,0.6521739130434783
utterance_0_18,0,18,8,0.9,1,0.782608695652174
utterance_0_20,0,20,8,0.9,0,0.8695652173913043
utterance_0_21,0,21,5,1.0,0,0.9130434782608695
utterance_0_23,0,23,5,1.0,0,1.0
utterance_1_1,1,1,10,0.9,0,0.015151515151515152
utterance_1_2,1,2,10,0.9,0,0.030303030303030304
utterance_1_5,1,5,10,0.9,0,0.07575757575757576
utterance_1_6,1,6,10,0.9,0,0.09090909090909091
utterance_1_8,1,8,7,0.9,0,0.12121212121212122
utterance_1_12,1,12,7,0.9,0,0.18181818181818182
utterance_1_14,1,14,7,0.9,0,0.21212121212121213
utterance_1_16,1,16,8,0.9,0,0.24242424242424243
utterance_1_18,1,18,7,0.9,0,0.2727272727272727
utterance_1_20,1,20,7,0.9,1,0.30303030303030304
utterance_1_22,1,22,7,0.9,0,0.3333333333333333
utterance_1_26,1,26,9,0.9,0,0.3939393939393939
utterance_1_27,1,27,8,0.9,1,0.4090909090909091
utterance_1_32,1,32,4,0.9,1,0.48484848484848486
utterance_1_35,1,35,4,0.9,0,0.5303030303030303
utterance_1_38,1,38,7,0.9,0,0.5757575757575758
utterance_1_39,1,39,7,0.9,0,0.5909090909090909
utterance_1_41,1,41,1,0.9,0,0.6212121212121212
utterance_1_43,1,43,9,0.9,0,0.6515151515151515
utterance_1_46,1,46,9,0.9,0,0.696969696969697
utterance_1_49,1,49,9,0.9,1,0.7424242424242424
utterance_1_51,1,51,1,0.9,0,0.7727272727272727
utterance_1_54,1,54,6,0.9,1,0.8181818181818182
utterance_1_55,1,55,6,0.9,1,0.8333333333333334
utterance_1_59,1,59,8,0.9,1,0.8939393939393939
utterance_1_62,1,62,4,0.9,0,0.9393939393939394
utterance_1_64,1,64,3,1.0,0,0.9696969696969697
utterance_1_66,1,66,5,1.0,0,1.0
utterance_2_3,2,3,7,0.9,0,0.08571428571428572
utterance_2_7,2,7,9,0.9,0,0.2
utterance_2_9,2,9,9,0.9,0,0.2571428571428571
utterance_2_10,2,10,7,0.9,0,0.2857142857142857
utterance_2_12,2,12,7,0.9,0,0.34285714285714286
utterance_2_14,2,14,6,0.9,0,0.4
utterance_2_16,2,16,7,0.9,1,0.45714285714285713
utterance_2_18,2,18,9,0.9,0,0.5142857142857142
utterance_2_20,2,20,6,0.9,0,0.5714285714285714
utterance_2_22,2,22,9,0.9,1,0.6285714285714286
utterance_2_24,2,24,4,0.9,0,0.6857142857142857
utterance_2_26,2,26,4,0.9,0,0.7428571428571429
utterance_2_28,2,28,8,0.9,1,0.8
utterance_2_30,2,30,9,0.9,0,0.8571428571428571
utterance_2_32,2,32,9,0.9,1,0.9142857142857143
utterance_2_34,2,34,9,0.9,0,0.9714285714285714
utterance_2_35,2,35,5,0.9,0,1.0
utterance_3_3,3,3,9,0.9,0,0.14285714285714285
utterance_3_5,3,5,2,0.9,0,0.23809523809523808
utterance_3_7,3,7,8,0.8,0,0.3333333333333333
utterance_3_9,3,9,2,0.9,0,0.42857142857142855
utterance_3_12,3,12,9,0.9,0,0.5714285714285714
utterance_3_16,3,16,6,0.9,0,0.7619047619047619
utterance_3_18,3,18,4,0.9,0,0.8571428571428571
utterance_3_20,3,20,8,0.8,0,0.9523809523809523
utterance_3_21,3,21,5,1.0,0,1.0
utterance_4_1,4,1,8,0.9,0,0.013888888888888888
utterance_4_2,4,2,8,0.9,0,0.027777777777777776
utterance_4_5,4,5,8,0.9,0,0.06944444444444445
utterance_4_6,4,6,7,0.9,0,0.08333333333333333
utterance_4_7,4,7,7,0.9,0,0.09722222222222222
utterance_4_10,4,10,7,0.9,1,0.1388888888888889
utterance_4_11,4,11,9,0.9,0,0.1527777777777778
utterance_4_12,4,12,7,0.9,0,0.16666666666666666
utterance_4_13,4,13,9,0.9,0,0.18055555555555555
utterance_4_15,4,15,8,0.9,0,0.20833333333333334
utterance_4_16,4,16,4,0.9,0,0.2222222222222222
utterance_4_17,4,17,4,0.9,0,0.2361111111111111
utterance_4_19,4,19,7,0.9,0,0.2638888888888889
utterance_4_20,4,20,1,0.9,1,0.2777777777777778
utterance_4_21,4,21,1,0.9,1,0.2916666666666667
utterance_4_22,4,22,8,0.9,1,0.3055555555555556
utterance_4_24,4,24,9,0.9,0,0.3333333333333333
utterance_4_27,4,27,7,0.9,0,0.375
utterance_4_28,4,28,7,0.9,0,0.3888888888888889
utterance_4_29,4,29,1,0.9,0,0.4027777777777778
utterance_4_30,4,30,8,0.8,0,0.4166666666666667
utterance_4_32,4,32,8,0.9,1,0.4444444444444444
utterance_4_34,4,34,8,0.9,0,0.4722222222222222
utterance_4_35,4,35,4,0.9,0,0.4861111111111111
utterance_4_37,4,37,9,0.9,1,0.5138888888888888
utterance_4_38,4,38,7,0.9,1,0.5277777777777778
utterance_4_41,4,41,7,0.9,0,0.5694444444444444
utterance_4_44,4,44,4,0.9,0,0.6111111111111112
utterance_4_46,4,46,4,0.9,0,0.6388888888888888
utterance_4_48,4,48,8,0.9,1,0.6666666666666666
utterance_4_50,4,50,4,0.9,0,0.6944444444444444
utterance_4_52,4,52,8,0.9,1,0.7222222222222222
utterance_4_55,4,55,7,0.9,0,0.7638888888888888
utterance_4_57,4,57,7,0.9,1,0.7916666666666666
utterance_4_59,4,59,8,0.9,0,0.8194444444444444
utterance_4_61,4,61,7,0.9,0,0.8472222222222222
utterance_4_65,4,65,7,0.9,0,0.9027777777777778
