,content,supporter-pre,supporter-post,gpt5,annotator1,annotator2,human_aggregate
1.5,"it's almost depleted, been out of work now for nearly 9 months but still can't get unemployment support because of the property that I cannot get rid off else I will declared bankrupt by the mortgage lender",Are your family being supportive of your situation?,Perhaps bankruptcy might not be a bad option? You would be eligible for some help then at least.,1,0,0,0
2.3,I am badly in need of a haircut due to the pandemic...my short layered hair is now shoulder length shag lol...I hate the way I look right now and it gets me down.,"Hell, How can I help?","Initially, I used to feel like that and never shared my camera but I know I can do all the time.",1,0,0,0
2.4,oh really? how long did it take you to get up the nerve....its been months and months of mic only for me lol...and the silly thing is the people i'm zooming with aren't particularly attractive so I shouldn't feel ashamed.,"Initially, I used to feel like that and never shared my camera but I know I can do all the time.",When I saw many people were sharing camera and they didnt care about anything - few sitting in room full of mess but they dint care.,1,0,0,0
2.1,Hello,,"Hell, How can I help?",1,0,0,0
2.12,its hard I'm getting older now (50's) and its hard seeing my appearance go downhill. But at least it's happening with my other friends too lol. Gravity is a bitch!,no problem - practice always helps. Start small and then go big.,I am nearly 50 as well. People over 50s looks better and I am sure your appearance is good as well. It is just thinking.,1,0,0,0
2.15,You know you're right there,It is all inside and outside appearance doesnt matter,All people over 50s are graceful - honest opinion.,1,0,0,0
4.1,feeling really stressed out and exhausted trying to find a job in a small town,,"I understand how frustrating it can be, especially with COVID turning our world upside down!",1,0,0,0
4.3,thank you for that. i just wish i either had more hours or made more at a time. working part time just isnt cutting it.,"I hope you heard that major pharma companies have tested vaccines which are 90-95 % effective! Given the current advancement in technology, it is a great news.",I understand. Part time or reduced hours can be a source of concern.,1,0,0,0
4.5,and i desperately need to move out of the situation that i am in. but cant do it with my current level of income.,I understand. Part time or reduced hours can be a source of concern.,We just need to trust them to bring the vaccine to the public. I hope in due time they will publish their detailed research and development papers.,1,0,0,0
4.7,i have been looking for work from home jobs right and left,"Regarding your situation, have you tried a secondary source of income? Like becoming a delivery driver or an order taker?",Ok. I suppose you can try online jobs. One of my friends lives outside the city and is a part time online order taker for Pizza Hut.,1,0,0,0
5.2,"I am worried that COVID-19 has made me depressed. I am usually a well mannered, even personality but I find myself impatient and possibly getting depressed.","I good, how are you feeling?",So you think that COVID-19 has made you depressed? Could there be anything else that could be bothering you?,1,0,0,0
5.5,"I agree. As I deal with more and more power, there seems to be more politics.",Change is a good thing though as it makes us stronger as people. Do you have any hobbies/interests?,Sometimes some of the best things we can do is t get out and away from all the things that WE as people have created. Get into the woods and throw a ball around.,1,0,0,0
5.8,Yeah. How do you cope with your stresses? I find myself drinking more than I want now too.,"I understand, especially having the remote learning going on, it is hard to get away from work and school.","I try to, I love packing a day back with some easy snacks, and going out for a hike through the woods. Sometimes I use the state trails but sometimes I just go out and make my own new trail.",1,0,0,0
5.9,"That's fun. I try to get out once a month for a nice hike. We did the Indiana Dunes last month and that was good. With the snow coming, it might be more snow shoeing moving forward.","I try to, I love packing a day back with some easy snacks, and going out for a hike through the woods. Sometimes I use the state trails but sometimes I just go out and make my own new trail.","Well, drinking doesn't really deal with it. It only pushes things off for later to deal with. Exercising is a really good way to deal with that stress.",1,0,0,0
5.1,"Hi, how are you?",,"I good, how are you feeling?",1,0,0,0
5.11,"Yeah. In chicago, we have a lot of snow but also some good state trails. It's been helpful, especially when this first started. I live across the street from a forest preserve, which was a life saver.","That's true! I used to live in Ohio, and the weather was amazing this time of year.",Are you able to do more workouts? Sometimes I have found that running (which I hate doing) makes me feel so much better in times of high stress. Running also releases endorphins into the body which will help to alleviate some of the drinking/stress.,1,0,0,0
5.12,I am trying to do more. I work out daily and that isgood but I am trying yoga for the second workout.,Are you able to do more workouts? Sometimes I have found that running (which I hate doing) makes me feel so much better in times of high stress. Running also releases endorphins into the body which will help to alleviate some of the drinking/stress.,Is there anything else I can help you with?,1,0,0,0
6.2,"Yes, I moved away and I thought I would be happier on my own but now all I do is think about them and miss them. Nobody ever has time to talk on the phone so I am all alone.",Why are you in a town all alone?,Do you have the option to move back? Because family is the most important thing at the end of the day,1,0,0,0
6.8,"No, I am too far away to stop by or go for the weekend. I would have to plan a whole trip and I cant really afford it yet. My brother knew that the pets were mine but he demanded that he keep them there and I didnt want to fight with him so I said fine.",Have you visited them ever since?,If they are your pets you should be able to keep them but you did the right thing as to not argue with your brother and your parents could help you look after them,1,0,0,0
7.4,"It some sort of way, I lost my job because of it and my girlfriend is not talking to me as well now...","It sounds like the pandemic has caused you to feel fear and have anxiety, is that right?",It sounds like you are under a lot of stress and don't have a way to realse that stress.,1,0,0,0
7.6,"I can try, but I don't see how it will help me to find a job. I barely can sleep at nights","You can try yoga, or doing activities that cause you to feel relax.","Getting a lot of rest or releasing stress will improve your fear and anxiety, which will lead to a more positive attitude to finding a job. Having a more postiive attuide well help you find a job.",1,0,0,0
8.1,"Today is okay, i guess. I'm just stressed.",,Is there a general problem that you would like to talk about? I am more than happy to listen.,1,0,0,0
8.5,"I don't mind retaking it, really","I am sorry to hear that but try not to panic, just failing one class is not the end of the world. How do you feel about retaking it?",Ah so you feel that this is going to be severely disruptive to your plans for this winter break?,1,0,0,0
8.8,yeah. that's another thing. I havent told my therapist or even my parents yet,Ah .. in that case is it possible to talk to your doctor? They might be able to get a special allowance for you given your personal circumstances,I think that it would be a really good idea if you talked to them about it. They will probably be a lot more understanding than you might think,1,0,0,0
8.9,that i failed,Ah .. in that case is it possible to talk to your doctor? They might be able to get a special allowance for you given your personal circumstances,I think that it would be a really good idea if you talked to them about it. They will probably be a lot more understanding than you might think,1,0,0,0
