utterance_index,utterance,score,rationale
seeker_5_1,"could be better",0.1,"Minimal emotional expression without reflection or reasoning."
seeker_5_2,"thank you, I just don't know what else to do to get a job?",0.2,"This is a direct expression of frustration and implicit advice-seeking, not self-directed reasoning."
seeker_5_3,"have tried that but don't even get an interview",0.2,"A factual complaint in response to the supporter, not reflective or self-exploratory."
seeker_5_4,"yes, I do not qualify for unemployment because I have savings above the min threshold and I also have rental property, which is currently loss making and I can't sell it because it's 30% below market value",0.3,"Descriptive and externally focused, though shows mild situational processing."
seeker_5_5,"it's almost depleted, been out of work now for nearly 9 months but still can't get unemployment support because of the property that I cannot get rid off else I will declared bankrupt by the mortgage lender",0.4,"Some internal frustration and explanation, bordering on reflective thinking."
seeker_5_6,"family is not being fully supported compared to when I had full time job. had to get rid of one car and other things just to get by",0.3,"Mostly factual with implied emotion but little reasoning or self-exploration."
seeker_5_7,"but the cost is 7 years of my future???",0.6,"Shows emotional processing and tentative reasoning about consequences—clear sign of internal conflict."
seeker_5_8,"very well put. seems i am being penalised for working hard, saving and investing? I should have been on more holidays and lived all the way above my means!",0.8,"Expresses evolving perspective and ironic self-reflection, clear soundboarding."
seeker_5_9,"thank you for your help.",0.0,"Simple expression of gratitude, no internal reasoning."
seeker_5_10,"say i can't quit until we have exchanged 10 messages or spent 15min. I think that has all been done, yes?",0.1,"Task-related clarification, not emotional or reflective."
seeker_1001_1,"Hello",0.0,"Simple greeting without any reflective or emotional content."
seeker_1001_2,"I'm ashamed of how I look which makes me anxious when I have to attend zoom meetings, I have to leave my camera off.  It feels like cheating!",0.8,"Expresses internal emotional conflict and self-judgment — strong example of self-directed reasoning."
seeker_1001_3,"I am badly in need of a haircut due to the pandemic...my short layered hair is now shoulder length shag lol...I hate the way I look right now and it gets me down.",0.6,"Mild humor but clearly emotional regulation and internal self-assessment."
seeker_1001_4,"oh really?  how long did it take you to get up the nerve....its been months and months of mic only for me lol...and the silly thing is the people i'm zooming with aren't particularly attractive so I shouldn't feel ashamed.",0.7,"Blends question with reflection on personal insecurity and illogical self-standards — good sign of soundboarding."
seeker_1001_5,"in person i am much more confidant...would like to care less.",0.6,"Reflects a contrast in self-perception and desire for emotional change — self-directed reasoning."
seeker_1001_6,"care less about being on cam i mean",0.4,"Clarifying statement that continues the train of thought, though not deeply reflective alone."
seeker_1001_7,"some people look so comfortable and relaxed!  I just get seized up with anxiety",0.5,"Comparison and emotional processing of self vs others — moderate soundboarding."
seeker_1001_8,"maybe i should take the plunge...it seems so silly to me because logically i am not in these meetings to impress anyone",0.9,"Classic soundboarding — weighing logic vs emotion and testing a potential action aloud."
seeker_1001_9,"maybe i'll pick the least threatening meeting and start there...one that's a smaller group",0.9,"Tentative problem-solving and strategy-testing — strong internal reasoning."
seeker_1001_10,"oh really?  I haven't experimented with that.   maybe I can get a friend to practise that with me",0.5,"Mild advice uptake but includes self-driven idea formation."
seeker_1001_11,"that's a good idea",0.2,"Brief agreement with the supporter — not internally focused."
seeker_1001_12,"its hard I'm getting older now (50's) and its hard seeing my appearance go downhill.   But at least it's happening with my other friends too lol. Gravity is a bitch!",0.7,"Emotionally framed reflection on aging with humor — clear internal processing."
seeker_1001_13,"what age group are you in?",0.0,"Direct question to supporter — not soundboarding."
seeker_1001_14,"hmm yes....my attitude and self defeating thoughts....i need to work on that, thank you for your encouragement",0.8,"Self-recognition of internal thought patterns and need for change — high self-reflection."
seeker_1001_15,"You know you're right there",0.3,"Acknowledgment of supporter's comment, with mild reflection."
seeker_1001_16,"maybe it's like a lot of things for me, that always seem worse until i try them, then i'm like ""what was I so worried about""",1.0,"Strong insight into personal thought patterns and how fear is often disproven — clear soundboarding."
seeker_1001_17,"first world pandemic problems lol",0.3,"Humorous meta-commentary with mild reflection, but not deeply reasoning."
seeker_1001_18,"i can't wait to have meetings in person again, so much better than zoom",0.2,"Stated preference rather than emotional exploration."
seeker_1001_19,"but i'm grateful we have zoom in the meantime, zoom's better than a conference call",0.4,"Shows some comparative reasoning and emotional balancing."
seeker_1001_20,"amen to that....it being over soon....we have all had to be so very patient",0.5,"Shared emotional observation with moderate reflective tone."
seeker_1001_21,"thankyou for your help today.   so I will first practise with a friend, and play around with backgrounds.  then I will take the plunge in a low-key small meeting and see how it goes",0.9,"Plans articulated aloud as a way to test and prepare for action — strong internal reasoning."
seeker_1001_22,"yes me too :)",0.1,"Minimal agreement — not reflective."
seeker_1001_23,"ok thank you again, stay safe and be well.  appreciate your help!  bye",0.0,"Gratitude and closure — not soundboarding."
seeker_1001_24,"indeed",0.0,"Simple affirmation — not reflective."
seeker_523_1,"Im so depressed",0.1,"Pure emotional venting without internal reasoning."
seeker_523_2,"It just wont end",0.2,"Expresses distress but not reflective thought."
seeker_523_3,"Now Im in quaritine again cant leave the house",0.2,"Describes circumstances rather than thinking aloud."
seeker_523_4,"I dont have anyone to tak to",0.2,"Expresses a feeling but not reflective reasoning."
seeker_523_5,"Plus my work hours have been cut",0.1,"Factual statement responding to supporter, not self‑directed reasoning."
seeker_523_6,"I have family but they live on the west coast im on the eastcoast",0.2,"Describing logistics rather than inner thought."
seeker_523_7,"So my money is now running low and rent is coming due",0.3,"External stressor description with mild worry but not reflective processing."
seeker_523_8,"I like to read",0.1,"Simple statement of preference."
seeker_523_9,"I like to walk on the beach",0.1,"Simple statement of preference without thinking aloud."
seeker_523_10,"Yes I live on the beach but its so cold right now I cant even do that. I feal so isolated",0.4,"Expresses emotional state and situational limitation with mild internal processing."
seeker_523_11,"Im going to do that tomorrow",0.2,"Action statement responding to advice, not internal reasoning."
seeker_523_12,"Im going to bundle up and go to the beach. Probably walk down to the pier 1 mile",0.3,"Future plan but motivated by supporter advice rather than self‑directed reasoning."
seeker_523_13,"Thats good advice, Im feeling a little better",0.2,"Reaction to support rather than internal reasoning."
seeker_523_14,"I can take my iphone for music",0.1,"Concrete planning without reflective reasoning."
seeker_523_15,"Thats good advice, thanks I think you helped me",0.1,"Gratitude rather than reflection."
seeker_523_16,"Thats true, it just seems like I am alone cause well I am lol",0.4,"Some inner reframing and mild self‑observation."
seeker_523_17,"Cats are cool",0.0,"Simple statement with no reflective content."
seeker_523_18,"I have a Russian Blue cat ssmart very smart cat",0.1,"Descriptive statement not involving self‑reflection."
seeker_523_19,"He's my buddy for sure.  Makes me happy to think of him",0.4,"Shows emotional processing and internal meaning-making."
seeker_523_20,"Thats a good idea I'll look into it.  Well we better wrap this hit up?",0.1,"Responding to advice and shifting to logistics."
